"","x"
"187",8994
"188",8931
"189",8912
"190",8910
"191",8888
"192",8886
"193",8886
"194",8864
"195",8859
"196",8849
"197",8846
"198",8834
"199",8799
"200",8778
"201",8770
"202",8765
"203",8728
"204",8718
"205",8716
"206",8713
"207",8711
"208",8704
"209",8685
"210",8675
"211",8671
"212",8658
"213",8646
"214",8643
"215",8642
"216",8635
"217",8635
"218",8617
"219",8615
"220",8602
"221",8600
"222",8576
"223",8576
"224",8565
"225",8560
"226",8555
"227",8553
"228",8553
"229",8531
"230",8529
"231",8515
"232",8499
"233",8497
"234",8497
"235",8486
"236",8475
"237",8464
"238",8463
"239",8461
"240",8457
"241",8451
"242",8448
"243",8448
"244",8439
"245",8437
"246",8428
"247",8423
"248",8415
"249",8415
"250",8413
"251",8392
"252",8392
"253",8382
"254",8367
"255",8347
"256",8344
"257",8319
"258",8301
"259",8297
"260",8294
"261",8292
"262",8292
"263",8288
"264",8287
"265",8262
"266",8228
"267",8224
"268",8221
"269",8217
"270",8211
"271",8203
"272",8191
"273",8190
"274",8174
"275",8174
"276",8174
"277",8172
"278",8158
"279",8152
"280",8151
"281",8140
"282",8125
"283",8120
"284",8093
"285",8090
"286",8085
"287",8082
"288",8077
"289",8076
"290",8070
"291",8070
"292",8070
"293",8053
"294",8041
"295",8036
"296",8028
"297",8026
"298",8025
"299",8019
"300",8010
"301",8005
"302",8000
"303",7999
"304",7998
"305",7997
"306",7995
"307",7993
"308",7985
"309",7985
"310",7984
"311",7978
"312",7971
"313",7968
"314",7960
"315",7958
"316",7949
"317",7931
"318",7931
"319",7918
"320",7913
"321",7909
"322",7909
"323",7899
"324",7898
"325",7896
"326",7892
"327",7884
"328",7884
"329",7877
"330",7872
"331",7870
"332",7854
"333",7853
"334",7850
"335",7848
"336",7840
"337",7839
"338",7834
"339",7833
"340",7812
"341",7809
"342",7805
"343",7805
"344",7805
"345",7793
"346",7780
"347",7770
"348",7770
"349",7766
"350",7764
"351",7762
"352",7752
"353",7750
"354",7744
"355",7743
"356",7742
"357",7733
"358",7725
"359",7720
"360",7714
"361",7710
"362",7709
"363",7700
"364",7696
"365",7695
"366",7692
"367",7690
"368",7678
"369",7662
"370",7661
"371",7660
"372",7659
"373",7652
"374",7650
"375",7648
"376",7642
"377",7635
"378",7629
"379",7619
"380",7616
"381",7613
"382",7609
"383",7606
"384",7598
"385",7597
"386",7594
"387",7592
"388",7590
"389",7588
"390",7583
"391",7582
"392",7580
"393",7569
"394",7556
"395",7549
"396",7548
"397",7544
"398",7543
"399",7538
"400",7536
"401",7524
"402",7517
"403",7515
"404",7514
"405",7513
"406",7513
"407",7504
"408",7497
"409",7478
"410",7473
"411",7472
"412",7471
"413",7468
"414",7464
"415",7461
"416",7455
"417",7446
"418",7445
"419",7445
"420",7437
"421",7435
"422",7433
"423",7419
"424",7410
"425",7405
"426",7403
"427",7398
"428",7396
"429",7394
"430",7393
"431",7388
"432",7385
"433",7383
"434",7382
"435",7373
"436",7368
"437",7368
"438",7366
"439",7360
"440",7360
"441",7353
"442",7350
"443",7350
"444",7349
"445",7337
"446",7333
"447",7333
"448",7327
"449",7326
"450",7325
"451",7324
"452",7315
"453",7310
"454",7304
"455",7302
"456",7297
"457",7296
"458",7294
"459",7290
"460",7284
"461",7282
"462",7279
"463",7274
"464",7264
"465",7263
"466",7263
"467",7259
"468",7243
"469",7241
"470",7239
"471",7239
"472",7235
"473",7235
"474",7233
"475",7232
"476",7230
"477",7226
"478",7222
"479",7221
"480",7214
"481",7210
"482",7205
"483",7200
"484",7197
"485",7193
"486",7192
"487",7191
"488",7184
"489",7177
"490",7176
"491",7172
"492",7169
"493",7164
"494",7164
"495",7164
"496",7155
"497",7149
"498",7142
"499",7142
"500",7139
"501",7134
"502",7122
"503",7119
"504",7119
"505",7115
"506",7111
"507",7108
"508",7107
"509",7104
"510",7103
"511",7102
"512",7101
"513",7100
"514",7093
"515",7092
"516",7091
"517",7086
"518",7080
"519",7078
"520",7077
"521",7077
"522",7074
"523",7072
"524",7071
"525",7062
"526",7056
"527",7056
"528",7053
"529",7052
"530",7050
"531",7047
"532",7044
"533",7039
"534",7039
"535",7036
"536",7035
"537",7032
"538",7030
"539",7026
"540",7026
"541",7025
"542",7021
"543",7021
"544",7020
"545",7015
"546",7013
"547",7010
"548",7009
"549",7008
"550",7002
"551",6999
"552",6998
"553",6993
"554",6992
"555",6984
"556",6981
"557",6963
"558",6962
"559",6961
"560",6958
"561",6953
"562",6952
"563",6950
"564",6948
"565",6947
"566",6945
"567",6944
"568",6941
"569",6938
"570",6938
"571",6932
"572",6927
"573",6926
"574",6924
"575",6920
"576",6918
"577",6918
"578",6917
"579",6912
"580",6908
"581",6902
"582",6897
"583",6891
"584",6891
"585",6889
"586",6888
"587",6888
"588",6880
"589",6875
"590",6874
"591",6870
"592",6868
"593",6861
"594",6861
"595",6860
"596",6859
"597",6857
"598",6857
"599",6848
"600",6843
"601",6842
"602",6841
"603",6838
"604",6838
"605",6834
"606",6831
"607",6825
"608",6821
"609",6820
"610",6816
"611",6814
"612",6809
"613",6807
"614",6807
"615",6804
"616",6803
"617",6802
"618",6799
"619",6799
"620",6794
"621",6793
"622",6788
"623",6786
"624",6783
"625",6783
"626",6774
"627",6774
"628",6773
"629",6772
"630",6771
"631",6771
"632",6767
"633",6766
"634",6762
"635",6760
"636",6757
"637",6753
"638",6748
"639",6747
"640",6745
"641",6744
"642",6743
"643",6743
"644",6742
"645",6735
"646",6735
"647",6733
"648",6732
"649",6729
"650",6723
"651",6722
"652",6717
"653",6715
"654",6714
"655",6710
"656",6710
"657",6707
"658",6705
"659",6704
"660",6704
"661",6704
"662",6702
"663",6699
"664",6697
"665",6691
"666",6686
"667",6685
"668",6681
"669",6675
"670",6674
"671",6674
"672",6671
"673",6666
"674",6664
"675",6664
"676",6660
"677",6658
"678",6655
"679",6654
"680",6648
"681",6647
"682",6644
"683",6643
"684",6642
"685",6642
"686",6639
"687",6638
"688",6635
"689",6633
"690",6633
"691",6632
"692",6627
"693",6626
"694",6625
"695",6622
"696",6622
"697",6621
"698",6621
"699",6620
"700",6619
"701",6618
"702",6612
"703",6611
"704",6609
"705",6605
"706",6605
"707",6605
"708",6604
"709",6597
"710",6591
"711",6588
"712",6588
"713",6588
"714",6586
"715",6579
"716",6574
"717",6573
"718",6571
"719",6570
"720",6565
"721",6552
"722",6552
"723",6551
"724",6550
"725",6548
"726",6548
"727",6546
"728",6541
"729",6539
"730",6536
"731",6535
"732",6532
"733",6530
"734",6527
"735",6525
"736",6525
"737",6524
"738",6522
"739",6521
"740",6520
"741",6519
"742",6518
"743",6512
"744",6510
"745",6505
"746",6504
"747",6501
"748",6501
"749",6497
"750",6496
"751",6496
"752",6494
"753",6493
"754",6492
"755",6487
"756",6485
"757",6482
"758",6481
"759",6480
"760",6480
"761",6479
"762",6474
"763",6470
"764",6469
"765",6468
"766",6468
"767",6467
"768",6466
"769",6463
"770",6461
"771",6459
"772",6457
"773",6455
"774",6454
"775",6453
"776",6453
"777",6453
"778",6450
"779",6448
"780",6446
"781",6435
"782",6435
"783",6435
"784",6430
"785",6427
"786",6426
"787",6425
"788",6425
"789",6413
"790",6409
"791",6405
"792",6404
"793",6403
"794",6401
"795",6401
"796",6399
"797",6397
"798",6395
"799",6394
"800",6381
"801",6381
"802",6380
"803",6379
"804",6378
"805",6378
"806",6378
"807",6376
"808",6376
"809",6371
"810",6371
"811",6371
"812",6366
"813",6362
"814",6360
"815",6359
"816",6355
"817",6355
"818",6355
"819",6352
"820",6351
"821",6349
"822",6347
"823",6346
"824",6346
"825",6345
"826",6343
"827",6340
"828",6336
"829",6334
"830",6333
"831",6332
"832",6329
"833",6328
"834",6326
"835",6326
"836",6324
"837",6324
"838",6323
"839",6322
"840",6320
"841",6320
"842",6319
"843",6317
"844",6315
"845",6314
"846",6313
"847",6310
"848",6308
"849",6307
"850",6304
"851",6303
"852",6301
"853",6300
"854",6299
"855",6298
"856",6296
"857",6294
"858",6286
"859",6284
"860",6282
"861",6280
"862",6279
"863",6278
"864",6278
"865",6277
"866",6275
"867",6274
"868",6274
"869",6273
"870",6273
"871",6270
"872",6269
"873",6268
"874",6263
"875",6259
"876",6256
"877",6255
"878",6252
"879",6251
"880",6251
"881",6251
"882",6247
"883",6246
"884",6245
"885",6245
"886",6243
"887",6242
"888",6240
"889",6238
"890",6237
"891",6237
"892",6237
"893",6236
"894",6234
"895",6234
"896",6230
"897",6229
"898",6228
"899",6228
"900",6227
"901",6225
"902",6224
"903",6223
"904",6223
"905",6221
"906",6220
"907",6219
"908",6217
"909",6216
"910",6216
"911",6215
"912",6214
"913",6213
"914",6211
"915",6210
"916",6205
"917",6205
"918",6203
"919",6202
"920",6199
"921",6195
"922",6192
"923",6191
"924",6189
"925",6189
"926",6186
"927",6184
"928",6182
"929",6181
"930",6181
"931",6177
"932",6174
"933",6173
"934",6172
"935",6170
"936",6167
"937",6166
"938",6162
"939",6160
"940",6157
"941",6156
"942",6150
"943",6145
"944",6142
"945",6142
"946",6140
"947",6139
"948",6139
"949",6138
"950",6137
"951",6133
"952",6132
"953",6128
"954",6128
"955",6124
"956",6123
"957",6123
"958",6121
"959",6120
"960",6120
"961",6119
"962",6119
"963",6118
"964",6117
"965",6115
"966",6115
"967",6113
"968",6111
"969",6111
"970",6110
"971",6109
"972",6109
"973",6107
"974",6104
"975",6098
"976",6094
"977",6093
"978",6092
"979",6090
"980",6089
"981",6089
"982",6088
"983",6085
"984",6080
"985",6078
"986",6076
"987",6075
"988",6074
"989",6071
"990",6067
"991",6067
"992",6065
"993",6064
"994",6063
"995",6060
"996",6059
"997",6058
"998",6057
"999",6057
"1000",6053
"1001",6050
"1002",6050
"1003",6049
"1004",6049
"1005",6048
"1006",6047
"1007",6046
"1008",6044
"1009",6043
"1010",6042
"1011",6042
"1012",6038
"1013",6038
"1014",6036
"1015",6034
"1016",6033
"1017",6033
"1018",6031
"1019",6031
"1020",6030
"1021",6030
"1022",6030
"1023",6029
"1024",6028
"1025",6028
"1026",6023
"1027",6020
"1028",6019
"1029",6016
"1030",6016
"1031",6016
"1032",6013
"1033",6011
"1034",6010
"1035",6010
"1036",6009
"1037",6009
"1038",6006
"1039",6003
"1040",6000
"1041",5993
"1042",5990
"1043",5990
"1044",5990
"1045",5988
"1046",5986
"1047",5985
"1048",5984
"1049",5984
"1050",5983
"1051",5979
"1052",5974
"1053",5970
"1054",5970
"1055",5969
"1056",5969
"1057",5967
"1058",5967
"1059",5965
"1060",5964
"1061",5964
"1062",5963
"1063",5962
"1064",5958
"1065",5957
"1066",5956
"1067",5952
"1068",5949
"1069",5948
"1070",5942
"1071",5938
"1072",5937
"1073",5937
"1074",5936
"1075",5928
"1076",5928
"1077",5927
"1078",5927
"1079",5926
"1080",5926
"1081",5926
"1082",5926
"1083",5925
"1084",5924
"1085",5921
"1086",5920
"1087",5918
"1088",5916
"1089",5916
"1090",5915
"1091",5915
"1092",5915
"1093",5912
"1094",5909
"1095",5906
"1096",5904
"1097",5903
"1098",5901
"1099",5900
"1100",5900
"1101",5897
"1102",5896
"1103",5895
"1104",5892
"1105",5892
"1106",5891
"1107",5888
"1108",5886
"1109",5885
"1110",5882
"1111",5882
"1112",5882
"1113",5881
"1114",5880
"1115",5877
"1116",5877
"1117",5875
"1118",5874
"1119",5874
"1120",5873
"1121",5873
"1122",5871
"1123",5870
"1124",5865
"1125",5864
"1126",5864
"1127",5862
"1128",5860
"1129",5860
"1130",5859
"1131",5858
"1132",5857
"1133",5856
"1134",5855
"1135",5854
"1136",5851
"1137",5851
"1138",5850
"1139",5848
"1140",5847
"1141",5846
"1142",5846
"1143",5843
"1144",5842
"1145",5840
"1146",5840
"1147",5837
"1148",5835
"1149",5835
"1150",5833
"1151",5832
"1152",5832
"1153",5832
"1154",5829
"1155",5828
"1156",5827
"1157",5825
"1158",5823
"1159",5821
"1160",5817
"1161",5815
"1162",5814
"1163",5814
"1164",5813
"1165",5813
"1166",5813
"1167",5812
"1168",5811
"1169",5810
"1170",5809
"1171",5808
"1172",5807
"1173",5807
"1174",5807
"1175",5806
"1176",5804
"1177",5801
"1178",5800
"1179",5800
"1180",5795
"1181",5793
"1182",5791
"1183",5788
"1184",5787
"1185",5786
"1186",5786
"1187",5786
"1188",5785
"1189",5783
"1190",5782
"1191",5780
"1192",5779
"1193",5777
"1194",5774
"1195",5772
"1196",5767
"1197",5766
"1198",5765
"1199",5765
"1200",5765
"1201",5762
"1202",5761
"1203",5761
"1204",5760
"1205",5760
"1206",5756
"1207",5756
"1208",5755
"1209",5754
"1210",5752
"1211",5751
"1212",5750
"1213",5748
"1214",5747
"1215",5747
"1216",5745
"1217",5745
"1218",5744
"1219",5743
"1220",5743
"1221",5743
"1222",5742
"1223",5742
"1224",5742
"1225",5740
"1226",5740
"1227",5737
"1228",5737
"1229",5735
"1230",5734
"1231",5734
"1232",5733
"1233",5733
"1234",5733
"1235",5731
"1236",5730
"1237",5729
"1238",5727
"1239",5727
"1240",5726
"1241",5724
"1242",5724
"1243",5722
"1244",5721
"1245",5720
"1246",5718
"1247",5717
"1248",5717
"1249",5711
"1250",5708
"1251",5708
"1252",5706
"1253",5705
"1254",5704
"1255",5704
"1256",5703
"1257",5703
"1258",5702
"1259",5699
"1260",5697
"1261",5695
"1262",5695
"1263",5695
"1264",5692
"1265",5692
"1266",5688
"1267",5688
"1268",5688
"1269",5687
"1270",5687
"1271",5685
"1272",5684
"1273",5683
"1274",5682
"1275",5680
"1276",5679
"1277",5679
"1278",5678
"1279",5677
"1280",5677
"1281",5677
"1282",5677
"1283",5676
"1284",5674
"1285",5673
"1286",5672
"1287",5671
"1288",5670
"1289",5669
"1290",5668
"1291",5665
"1292",5665
"1293",5664
"1294",5663
"1295",5660
"1296",5660
"1297",5659
"1298",5658
"1299",5657
"1300",5657
"1301",5653
"1302",5649
"1303",5649
"1304",5647
"1305",5647
"1306",5645
"1307",5643
"1308",5642
"1309",5641
"1310",5641
"1311",5641
"1312",5641
"1313",5641
"1314",5639
"1315",5639
"1316",5637
"1317",5634
"1318",5633
"1319",5633
"1320",5632
"1321",5630
"1322",5628
"1323",5627
"1324",5627
"1325",5624
"1326",5620
"1327",5620
"1328",5619
"1329",5617
"1330",5616
"1331",5614
"1332",5613
"1333",5613
"1334",5612
"1335",5610
"1336",5610
"1337",5608
"1338",5607
"1339",5607
"1340",5605
"1341",5605
"1342",5602
"1343",5601
"1344",5601
"1345",5600
"1346",5600
"1347",5599
"1348",5599
"1349",5598
"1350",5597
"1351",5597
"1352",5595
"1353",5593
"1354",5592
"1355",5592
"1356",5590
"1357",5590
"1358",5587
"1359",5583
"1360",5583
"1361",5583
"1362",5582
"1363",5581
"1364",5580
"1365",5579
"1366",5579
"1367",5579
"1368",5578
"1369",5576
"1370",5576
"1371",5575
"1372",5575
"1373",5571
"1374",5571
"1375",5569
"1376",5568
"1377",5568
"1378",5567
"1379",5566
"1380",5563
"1381",5560
"1382",5558
"1383",5555
"1384",5555
"1385",5554
"1386",5554
"1387",5552
"1388",5551
"1389",5551
"1390",5548
"1391",5547
"1392",5547
"1393",5547
"1394",5546
"1395",5545
"1396",5543
"1397",5540
"1398",5538
"1399",5538
"1400",5537
"1401",5537
"1402",5537
"1403",5537
"1404",5535
"1405",5533
"1406",5533
"1407",5528
"1408",5527
"1409",5525
"1410",5525
"1411",5522
"1412",5521
"1413",5521
"1414",5520
"1415",5520
"1416",5520
"1417",5520
"1418",5520
"1419",5519
"1420",5519
"1421",5517
"1422",5516
"1423",5516
"1424",5515
"1425",5514
"1426",5510
"1427",5510
"1428",5507
"1429",5506
"1430",5503
"1431",5502
"1432",5502
"1433",5501
"1434",5501
"1435",5500
"1436",5498
"1437",5497
"1438",5495
"1439",5495
"1440",5495
"1441",5495
"1442",5495
"1443",5493
"1444",5493
"1445",5493
"1446",5492
"1447",5492
"1448",5492
"1449",5491
"1450",5491
"1451",5490
"1452",5488
"1453",5487
"1454",5486
"1455",5485
"1456",5485
"1457",5482
"1458",5482
"1459",5482
"1460",5481
"1461",5481
"1462",5481
"1463",5475
"1464",5473
"1465",5473
"1466",5470
"1467",5468
"1468",5466
"1469",5465
"1470",5464
"1471",5463
"1472",5463
"1473",5462
"1474",5461
"1475",5457
"1476",5455
"1477",5455
"1478",5453
"1479",5452
"1480",5451
"1481",5449
"1482",5449
"1483",5448
"1484",5448
"1485",5446
"1486",5446
"1487",5445
"1488",5444
"1489",5444
"1490",5442
"1491",5440
"1492",5440
"1493",5438
"1494",5437
"1495",5437
"1496",5429
"1497",5429
"1498",5429
"1499",5429
"1500",5428
"1501",5428
"1502",5427
"1503",5427
"1504",5426
"1505",5418
"1506",5413
"1507",5412
"1508",5412
"1509",5412
"1510",5411
"1511",5409
"1512",5409
"1513",5405
"1514",5405
"1515",5405
"1516",5404
"1517",5401
"1518",5401
"1519",5401
"1520",5400
"1521",5399
"1522",5399
"1523",5395
"1524",5395
"1525",5393
"1526",5392
"1527",5391
"1528",5390
"1529",5389
"1530",5388
"1531",5388
"1532",5385
"1533",5384
"1534",5383
"1535",5382
"1536",5382
"1537",5378
"1538",5378
"1539",5377
"1540",5376
"1541",5376
"1542",5376
"1543",5374
"1544",5371
"1545",5371
"1546",5371
"1547",5370
"1548",5369
"1549",5367
"1550",5362
"1551",5360
"1552",5360
"1553",5359
"1554",5359
"1555",5357
"1556",5357
"1557",5356
"1558",5354
"1559",5354
"1560",5354
"1561",5354
"1562",5352
"1563",5352
"1564",5352
"1565",5352
"1566",5350
"1567",5347
"1568",5346
"1569",5341
"1570",5340
"1571",5338
"1572",5338
"1573",5336
"1574",5335
"1575",5334
"1576",5334
"1577",5333
"1578",5332
"1579",5332
"1580",5328
"1581",5328
"1582",5327
"1583",5325
"1584",5324
"1585",5323
"1586",5322
"1587",5321
"1588",5319
"1589",5319
"1590",5319
"1591",5318
"1592",5317
"1593",5315
"1594",5314
"1595",5313
"1596",5312
"1597",5310
"1598",5309
"1599",5309
"1600",5308
"1601",5307
"1602",5305
"1603",5305
"1604",5305
"1605",5305
"1606",5304
"1607",5301
"1608",5300
"1609",5297
"1610",5297
"1611",5296
"1612",5296
"1613",5296
"1614",5296
"1615",5295
"1616",5294
"1617",5294
"1618",5293
"1619",5292
"1620",5291
"1621",5290
"1622",5289
"1623",5288
"1624",5287
"1625",5286
"1626",5286
"1627",5286
"1628",5285
"1629",5285
"1630",5284
"1631",5284
"1632",5284
"1633",5283
"1634",5279
"1635",5278
"1636",5276
"1637",5276
"1638",5275
"1639",5275
"1640",5272
"1641",5272
"1642",5272
"1643",5271
"1644",5270
"1645",5268
"1646",5268
"1647",5267
"1648",5267
"1649",5266
"1650",5266
"1651",5263
"1652",5262
"1653",5262
"1654",5262
"1655",5261
"1656",5261
"1657",5261
"1658",5260
"1659",5259
"1660",5257
"1661",5257
"1662",5256
"1663",5251
"1664",5251
"1665",5250
"1666",5250
"1667",5250
"1668",5248
"1669",5247
"1670",5244
"1671",5243
"1672",5243
"1673",5242
"1674",5242
"1675",5241
"1676",5240
"1677",5239
"1678",5239
"1679",5239
"1680",5238
"1681",5237
"1682",5235
"1683",5234
"1684",5233
"1685",5232
"1686",5232
"1687",5232
"1688",5229
"1689",5228
"1690",5228
"1691",5227
"1692",5227
"1693",5227
"1694",5227
"1695",5226
"1696",5225
"1697",5225
"1698",5224
"1699",5222
"1700",5222
"1701",5221
"1702",5219
"1703",5219
"1704",5219
"1705",5218
"1706",5217
"1707",5217
"1708",5216
"1709",5216
"1710",5216
"1711",5215
"1712",5212
"1713",5211
"1714",5211
"1715",5211
"1716",5211
"1717",5209
"1718",5209
"1719",5207
"1720",5207
"1721",5207
"1722",5206
"1723",5205
"1724",5204
"1725",5204
"1726",5204
"1727",5201
"1728",5201
"1729",5200
"1730",5199
"1731",5199
"1732",5198
"1733",5196
"1734",5194
"1735",5193
"1736",5193
"1737",5192
"1738",5192
"1739",5191
"1740",5190
"1741",5189
"1742",5186
"1743",5185
"1744",5185
"1745",5185
"1746",5184
"1747",5183
"1748",5183
"1749",5183
"1750",5182
"1751",5182
"1752",5181
"1753",5181
"1754",5179
"1755",5178
"1756",5177
"1757",5175
"1758",5175
"1759",5174
"1760",5174
"1761",5173
"1762",5173
"1763",5173
"1764",5172
"1765",5172
"1766",5172
"1767",5171
"1768",5170
"1769",5169
"1770",5168
"1771",5168
"1772",5167
"1773",5167
"1774",5165
"1775",5165
"1776",5165
"1777",5164
"1778",5164
"1779",5163
"1780",5163
"1781",5162
"1782",5161
"1783",5161
"1784",5159
"1785",5157
"1786",5157
"1787",5156
"1788",5154
"1789",5154
"1790",5154
"1791",5151
"1792",5150
"1793",5149
"1794",5149
"1795",5147
"1796",5147
"1797",5146
"1798",5146
"1799",5145
"1800",5145
"1801",5144
"1802",5144
"1803",5144
"1804",5143
"1805",5143
"1806",5143
"1807",5142
"1808",5139
"1809",5138
"1810",5138
"1811",5137
"1812",5136
"1813",5135
"1814",5135
"1815",5134
"1816",5132
"1817",5130
"1818",5129
"1819",5128
"1820",5126
"1821",5125
"1822",5124
"1823",5122
"1824",5122
"1825",5122
"1826",5121
"1827",5121
"1828",5120
"1829",5120
"1830",5120
"1831",5119
"1832",5119
"1833",5118
"1834",5117
"1835",5115
"1836",5113
"1837",5113
"1838",5112
"1839",5110
"1840",5109
"1841",5109
"1842",5107
"1843",5105
"1844",5105
"1845",5102
"1846",5100
"1847",5100
"1848",5100
"1849",5098
"1850",5096
"1851",5096
"1852",5095
"1853",5093
"1854",5093
"1855",5091
"1856",5089
"1857",5089
"1858",5089
"1859",5088
"1860",5087
"1861",5087
"1862",5086
"1863",5084
"1864",5084
"1865",5083
"1866",5083
"1867",5079
"1868",5077
"1869",5077
"1870",5077
"1871",5075
"1872",5073
"1873",5073
"1874",5072
"1875",5071
"1876",5067
"1877",5066
"1878",5065
"1879",5065
"1880",5065
"1881",5064
"1882",5064
"1883",5064
"1884",5061
"1885",5061
"1886",5060
"1887",5060
"1888",5059
"1889",5058
"1890",5058
"1891",5058
"1892",5057
"1893",5056
"1894",5055
"1895",5055
"1896",5054
"1897",5053
"1898",5053
"1899",5051
"1900",5051
"1901",5049
"1902",5049
"1903",5048
"1904",5047
"1905",5047
"1906",5046
"1907",5045
"1908",5044
"1909",5043
"1910",5042
"1911",5042
"1912",5042
"1913",5041
"1914",5041
"1915",5040
"1916",5040
"1917",5040
"1918",5039
"1919",5038
"1920",5035
"1921",5034
"1922",5032
"1923",5032
"1924",5031
"1925",5030
"1926",5029
"1927",5028
"1928",5027
"1929",5027
"1930",5024
"1931",5021
"1932",5020
"1933",5020
"1934",5020
"1935",5019
"1936",5013
"1937",5012
"1938",5012
"1939",5011
"1940",5011
"1941",5010
"1942",5009
"1943",5009
"1944",5008
"1945",5008
"1946",5007
"1947",5006
"1948",5005
"1949",5003
"1950",5002
"1951",5001
"1952",5000
"1953",5000
"1954",5000
"1955",5000
"1956",4999
"1957",4999
"1958",4998
"1959",4997
"1960",4995
"1961",4993
"1962",4988
"1963",4988
"1964",4987
"1965",4985
"1966",4985
"1967",4983
"1968",4982
"1969",4982
"1970",4982
"1971",4980
"1972",4977
"1973",4977
"1974",4977
"1975",4976
"1976",4976
"1977",4975
"1978",4974
"1979",4974
"1980",4970
"1981",4969
"1982",4967
"1983",4964
"1984",4964
"1985",4962
"1986",4962
"1987",4960
"1988",4960
"1989",4959
"1990",4958
"1991",4958
"1992",4957
"1993",4956
"1994",4956
"1995",4954
"1996",4954
"1997",4953
"1998",4952
"1999",4952
"2000",4949
"2001",4949
"2002",4948
"2003",4947
"2004",4943
"2005",4943
"2006",4942
"2007",4942
"2008",4942
"2009",4936
"2010",4935
"2011",4935
"2012",4934
"2013",4933
"2014",4933
"2015",4932
"2016",4931
"2017",4931
"2018",4930
"2019",4929
"2020",4929
"2021",4929
"2022",4928
"2023",4928
"2024",4927
"2025",4925
"2026",4925
"2027",4925
"2028",4923
"2029",4921
"2030",4919
"2031",4919
"2032",4919
"2033",4919
"2034",4917
"2035",4917
"2036",4916
"2037",4915
"2038",4914
"2039",4913
"2040",4913
"2041",4912
"2042",4912
"2043",4910
"2044",4910
"2045",4909
"2046",4907
"2047",4905
"2048",4904
"2049",4902
"2050",4901
"2051",4900
"2052",4898
"2053",4896
"2054",4896
"2055",4896
"2056",4896
"2057",4896
"2058",4894
"2059",4894
"2060",4893
"2061",4893
"2062",4888
"2063",4888
"2064",4883
"2065",4883
"2066",4883
"2067",4883
"2068",4882
"2069",4880
"2070",4880
"2071",4879
"2072",4878
"2073",4878
"2074",4878
"2075",4877
"2076",4876
"2077",4874
"2078",4873
"2079",4872
"2080",4872
"2081",4872
"2082",4871
"2083",4870
"2084",4870
"2085",4870
"2086",4869
"2087",4869
"2088",4869
"2089",4868
"2090",4868
"2091",4868
"2092",4864
"2093",4863
"2094",4863
"2095",4863
"2096",4862
"2097",4861
"2098",4861
"2099",4860
"2100",4859
"2101",4858
"2102",4857
"2103",4857
"2104",4857
"2105",4857
"2106",4856
"2107",4856
"2108",4856
"2109",4855
"2110",4854
"2111",4854
"2112",4853
"2113",4853
"2114",4853
"2115",4852
"2116",4852
"2117",4850
"2118",4850
"2119",4848
"2120",4848
"2121",4847
"2122",4847
"2123",4840
"2124",4840
"2125",4840
"2126",4838
"2127",4838
"2128",4838
"2129",4838
"2130",4837
"2131",4833
"2132",4833
"2133",4831
"2134",4831
"2135",4831
"2136",4830
"2137",4828
"2138",4828
"2139",4828
"2140",4825
"2141",4825
