Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Transcript length (including UTRs and CDS),Gene % GC content,Gene type
ENSMUSG00000095578,Y,80145048,80171244,1,923,35.53,protein_coding
ENSMUSG00000095578,Y,80145048,80171244,1,498,35.53,protein_coding
ENSMUSG00000094181,Y,44187468,44219789,-1,933,36.72,protein_coding
ENSMUSG00000094181,Y,44187468,44219789,-1,498,36.72,protein_coding
ENSMUSG00000099740,Y,80938264,80964527,1,923,35.39,protein_coding
ENSMUSG00000099894,Y,81469276,81495356,1,924,35.51,protein_coding
ENSMUSG00000101286,Y,82236496,82262688,1,923,35.60,protein_coding
ENSMUSG00000099925,Y,83042216,83068570,1,923,35.53,protein_coding
ENSMUSG00000094782,Y,47455569,47487599,1,932,36.89,protein_coding
ENSMUSG00000094782,Y,47455569,47487599,1,498,36.89,protein_coding
ENSMUSG00000101653,Y,48316464,48348480,1,931,36.88,protein_coding
ENSMUSG00000095153,Y,84108548,84134763,1,923,35.54,protein_coding
ENSMUSG00000095153,Y,84108548,84134763,1,498,35.54,protein_coding
ENSMUSG00000094660,Y,84573841,84576176,-1,1223,40.20,protein_coding
ENSMUSG00000094660,Y,84573841,84576176,-1,684,40.20,protein_coding
ENSMUSG00000100972,Y,48861106,48887226,1,923,35.58,protein_coding
ENSMUSG00000099840,Y,84757954,84784171,1,923,35.52,protein_coding
ENSMUSG00000095979,Y,49567735,49594004,1,922,35.55,protein_coding
ENSMUSG00000095979,Y,49567735,49594004,1,567,35.55,protein_coding
ENSMUSG00000095650,Y,85539786,85542177,-1,1156,40.43,protein_coding
ENSMUSG00000095650,Y,85539786,85542177,-1,1002,40.43,protein_coding
ENSMUSG00000100338,Y,50093855,50118710,1,880,35.21,protein_coding
ENSMUSG00000100240,Y,86073041,86099221,1,921,35.54,protein_coding
ENSMUSG00000102122,Y,50604830,50631040,1,922,35.51,protein_coding
ENSMUSG00000096769,Y,51121799,51148063,1,925,35.55,protein_coding
ENSMUSG00000096769,Y,51121799,51148063,1,498,35.55,protein_coding
ENSMUSG00000094399,Y,87128090,87154186,1,924,35.67,protein_coding
ENSMUSG00000094399,Y,87128090,87154186,1,498,35.67,protein_coding
ENSMUSG00000099856,Y,87562235,87586960,1,923,35.60,protein_coding
ENSMUSG00000100485,Y,51848699,51874879,1,922,35.53,protein_coding
ENSMUSG00000101915,Y,88064584,88090763,1,924,35.58,protein_coding
ENSMUSG00000102045,Y,89064075,89090284,1,934,35.55,protein_coding
ENSMUSG00000095606,Y,52776619,52802833,1,923,35.54,protein_coding
ENSMUSG00000095606,Y,52776619,52802833,1,567,35.54,protein_coding
ENSMUSG00000100608,Y,89724693,89756801,-1,931,36.69,protein_coding
ENSMUSG00000094729,Y,53412532,53414870,-1,1223,40.23,protein_coding
ENSMUSG00000094729,Y,53412532,53414870,-1,684,40.23,protein_coding
ENSMUSG00000096178,Y,90412517,90444532,1,844,36.88,protein_coding
ENSMUSG00000096178,Y,90412517,90444532,1,498,36.88,protein_coding
ENSMUSG00000100045,Y,53840528,53866729,1,923,35.50,protein_coding
ENSMUSG00000096850,Y,90850138,90850446,-1,309,48.87,protein_coding
ENSMUSG00000094570,Y,55210299,55236450,1,922,35.56,protein_coding
ENSMUSG00000094570,Y,55210299,55236450,1,498,35.56,protein_coding
ENSMUSG00000095135,Y,55728335,55754487,1,923,35.57,protein_coding
ENSMUSG00000095135,Y,55728335,55754487,1,498,35.57,protein_coding
ENSMUSG00000101155,Y,57195716,57221890,1,797,35.59,protein_coding
ENSMUSG00000101155,Y,57195716,57221890,1,548,35.59,protein_coding
ENSMUSG00000101155,Y,57195716,57221890,1,922,35.59,protein_coding
ENSMUSG00000096122,Y,57539940,57542272,-1,1229,39.86,protein_coding
ENSMUSG00000101399,Y,57714225,57740460,1,923,35.50,protein_coding
ENSMUSG00000096626,Y,58791095,58823125,-1,931,36.86,protein_coding
ENSMUSG00000096626,Y,58791095,58823125,-1,498,36.86,protein_coding
ENSMUSG00000095141,Y,60249730,60281778,1,927,36.84,protein_coding
ENSMUSG00000095141,Y,60249730,60281778,1,498,36.84,protein_coding
ENSMUSG00000100667,Y,61110775,61142787,1,931,36.89,protein_coding
ENSMUSG00000100726,Y,61655274,61681389,1,919,35.58,protein_coding
ENSMUSG00000094821,Y,62199394,62225665,1,922,35.55,protein_coding
ENSMUSG00000094821,Y,62199394,62225665,1,567,35.55,protein_coding
ENSMUSG00000093950,Y,62471032,62473373,-1,1231,39.58,protein_coding
ENSMUSG00000100856,Y,63236955,63263172,1,918,35.50,protein_coding
ENSMUSG00000101766,Y,64481794,64507980,1,922,35.52,protein_coding
ENSMUSG00000095785,Y,65213713,65216055,-1,1230,39.61,protein_coding
ENSMUSG00000095785,Y,65213713,65216055,-1,684,39.61,protein_coding
ENSMUSG00000093993,Y,65386218,65412445,1,836,35.55,protein_coding
ENSMUSG00000093993,Y,65386218,65412445,1,923,35.55,protein_coding
ENSMUSG00000093993,Y,65386218,65412445,1,567,35.55,protein_coding
ENSMUSG00000096666,Y,66751056,66753392,-1,1224,40.22,protein_coding
ENSMUSG00000096666,Y,66751056,66753392,-1,684,40.22,protein_coding
ENSMUSG00000095302,Y,67057012,67059341,-1,1216,40.09,protein_coding
ENSMUSG00000095302,Y,67057012,67059341,-1,684,40.09,protein_coding
ENSMUSG00000096016,Y,68279920,68306167,-1,811,35.56,protein_coding
ENSMUSG00000096016,Y,68279920,68306167,-1,923,35.56,protein_coding
ENSMUSG00000096016,Y,68279920,68306167,-1,567,35.56,protein_coding
ENSMUSG00000103528,Y,22020644,22046833,-1,922,35.52,protein_coding
ENSMUSG00000103919,Y,22830566,22856736,-1,923,35.60,protein_coding
ENSMUSG00000093868,Y,24410402,24412744,1,1224,39.65,protein_coding
ENSMUSG00000093868,Y,24410402,24412744,1,684,39.65,protein_coding
ENSMUSG00000094911,Y,24750506,24751588,-1,1083,43.03,protein_coding
ENSMUSG00000094939,Y,25263623,25264705,-1,1083,43.03,protein_coding
ENSMUSG00000100055,Y,26705950,26732144,-1,923,35.60,protein_coding
ENSMUSG00000099541,Y,27451071,27477265,-1,923,35.59,protein_coding
ENSMUSG00000101158,Y,28200697,28226857,-1,923,35.61,protein_coding
ENSMUSG00000100467,Y,30661878,30693906,-1,931,36.90,protein_coding
ENSMUSG00000101667,Y,2932582,2939416,1,576,36.34,protein_coding
ENSMUSG00000093918,Y,3294976,3306449,-1,1576,37.01,protein_coding
ENSMUSG00000093918,Y,3294976,3306449,-1,1143,37.01,protein_coding
ENSMUSG00000094511,Y,3326750,3345329,-1,1576,40.41,protein_coding
ENSMUSG00000094511,Y,3326750,3345329,-1,1143,40.41,protein_coding
ENSMUSG00000093987,Y,3367147,3410167,-1,1576,38.16,protein_coding
ENSMUSG00000093987,Y,3367147,3410167,-1,1573,38.16,protein_coding
ENSMUSG00000095948,Y,3399188,3410167,-1,1708,36.54,protein_coding
ENSMUSG00000095948,Y,3399188,3410167,-1,1573,36.54,protein_coding
ENSMUSG00000095948,Y,3399188,3410167,-1,1143,36.54,protein_coding
ENSMUSG00000096520,Y,3771673,3783267,1,1576,37.34,protein_coding
ENSMUSG00000096520,Y,3771673,3783267,1,1143,37.34,protein_coding
ENSMUSG00000093927,Y,5043937,5046265,1,1227,40.19,protein_coding
ENSMUSG00000093927,Y,5043937,5046265,1,684,40.19,protein_coding
ENSMUSG00000095693,Y,5248359,5249441,-1,1083,44.32,protein_coding
ENSMUSG00000096706,Y,5656986,5659574,1,1480,40.71,protein_coding
ENSMUSG00000096706,Y,5656986,5659574,1,471,40.71,protein_coding
ENSMUSG00000096268,Y,5725978,5728317,1,1228,40.17,protein_coding
ENSMUSG00000096268,Y,5725978,5728317,1,684,40.17,protein_coding
ENSMUSG00000100634,Y,5793395,5795728,1,1226,39.72,protein_coding
ENSMUSG00000096036,Y,5942460,5945031,1,1482,40.75,protein_coding
ENSMUSG00000096036,Y,5942460,5945031,1,471,40.75,protein_coding
ENSMUSG00000095148,Y,6267098,6269548,1,1342,41.00,protein_coding
ENSMUSG00000095148,Y,6267098,6269548,1,699,41.00,protein_coding
ENSMUSG00000101243,Y,6583546,6615511,1,920,36.91,protein_coding
ENSMUSG00000079806,Y,6680421,6682872,-1,1358,39.48,protein_coding
ENSMUSG00000079806,Y,6680421,6682872,-1,693,39.48,protein_coding
ENSMUSG00000096686,Y,6916300,6918282,-1,1221,41.15,protein_coding
ENSMUSG00000096686,Y,6916300,6918282,-1,684,41.15,protein_coding
ENSMUSG00000094484,Y,7165068,7169293,-1,3115,42.74,protein_coding
ENSMUSG00000094484,Y,7165068,7169293,-1,684,42.74,protein_coding
ENSMUSG00000100939,Y,7253787,7280017,1,919,35.50,protein_coding
ENSMUSG00000094081,Y,7632774,7638489,-1,4605,43.40,protein_coding
ENSMUSG00000094081,Y,7632774,7638489,-1,758,43.40,protein_coding
ENSMUSG00000100645,Y,7722941,7749195,1,919,35.49,protein_coding
ENSMUSG00000099861,Y,7994833,7997168,-1,1224,39.81,protein_coding
ENSMUSG00000095324,Y,8069168,8071507,-1,1226,40.09,protein_coding
ENSMUSG00000095324,Y,8069168,8071507,-1,684,40.09,protein_coding
ENSMUSG00000101928,Y,8257907,8284105,1,919,35.59,protein_coding
ENSMUSG00000101053,Y,8832821,8835169,-1,1224,40.06,protein_coding
ENSMUSG00000091077,Y,9130999,9133924,-1,1225,39.37,protein_coding
ENSMUSG00000091077,Y,9130999,9133924,-1,1563,39.37,protein_coding
ENSMUSG00000094679,Y,9199824,9202190,-1,1225,40.05,protein_coding
ENSMUSG00000094679,Y,9199824,9202190,-1,684,40.05,protein_coding
ENSMUSG00000094773,Y,9344836,9347184,-1,1224,39.89,protein_coding
ENSMUSG00000094773,Y,9344836,9347184,-1,684,39.89,protein_coding
ENSMUSG00000096223,Y,9413518,9416148,-1,1538,40.86,protein_coding
ENSMUSG00000096223,Y,9413518,9416148,-1,699,40.86,protein_coding
ENSMUSG00000094556,Y,9781804,9784197,1,1153,39.77,protein_coding
ENSMUSG00000094556,Y,9781804,9784197,1,684,39.77,protein_coding
ENSMUSG00000095032,Y,10144735,10147183,-1,1343,40.87,protein_coding
ENSMUSG00000095032,Y,10144735,10147183,-1,699,40.87,protein_coding
ENSMUSG00000095242,Y,10322618,10324589,-1,1220,41.48,protein_coding
ENSMUSG00000095242,Y,10322618,10324589,-1,684,41.48,protein_coding
ENSMUSG00000101396,Y,10412737,10444691,1,928,36.85,protein_coding
ENSMUSG00000095950,Y,10533609,10536042,-1,1338,40.76,protein_coding
ENSMUSG00000095950,Y,10533609,10536042,-1,699,40.76,protein_coding
ENSMUSG00000094813,Y,10750004,10752450,-1,1341,40.87,protein_coding
ENSMUSG00000094813,Y,10750004,10752450,-1,699,40.87,protein_coding
ENSMUSG00000094838,Y,11197024,11199374,-1,1229,39.56,protein_coding
ENSMUSG00000094838,Y,11197024,11199374,-1,687,39.56,protein_coding
ENSMUSG00000100231,Y,12273932,12306702,1,821,37.57,protein_coding
ENSMUSG00000095508,Y,12381981,12384008,1,1230,40.83,protein_coding
ENSMUSG00000095508,Y,12381981,12384008,1,684,40.83,protein_coding
ENSMUSG00000104267,Y,13042891,13045326,1,1336,41.01,protein_coding
ENSMUSG00000095769,Y,13132950,13133492,-1,543,47.33,protein_coding
ENSMUSG00000096820,Y,13161968,13164408,1,1345,40.80,protein_coding
ENSMUSG00000096820,Y,13161968,13164408,1,699,40.80,protein_coding
ENSMUSG00000095759,Y,13223386,13223928,-1,543,47.33,protein_coding
ENSMUSG00000103468,Y,13252391,13254834,1,1344,40.96,protein_coding
ENSMUSG00000093903,Y,13252442,13378804,1,1343,38.96,protein_coding
ENSMUSG00000093903,Y,13252442,13378804,1,1285,38.96,protein_coding
ENSMUSG00000095462,Y,13348521,13349063,-1,543,47.33,protein_coding
ENSMUSG00000093883,Y,13465037,13465579,-1,543,47.15,protein_coding
ENSMUSG00000095900,Y,13494026,13496466,1,1341,40.93,protein_coding
ENSMUSG00000095900,Y,13494026,13496466,1,681,40.93,protein_coding
ENSMUSG00000094227,Y,13941738,13942280,1,543,47.33,protein_coding
ENSMUSG00000104191,Y,14400710,14426798,1,923,35.66,protein_coding
ENSMUSG00000095172,Y,15882421,15884771,-1,1229,39.56,protein_coding
ENSMUSG00000095172,Y,15882421,15884771,-1,687,39.56,protein_coding
ENSMUSG00000095520,Y,17093873,17095892,1,1222,40.94,protein_coding
ENSMUSG00000095520,Y,17093873,17095892,1,1212,40.94,protein_coding
ENSMUSG00000095365,Y,17400761,17402715,1,1955,40.87,protein_coding
ENSMUSG00000094161,Y,17845724,17846266,-1,543,47.33,protein_coding
ENSMUSG00000102739,Y,17874741,17877179,1,1343,40.80,protein_coding
ENSMUSG00000094325,Y,17874741,17967603,1,1344,39.23,protein_coding
ENSMUSG00000094325,Y,17874741,17967603,1,1337,39.23,protein_coding
ENSMUSG00000096819,Y,17935713,17937330,-1,1618,45.18,protein_coding
ENSMUSG00000095879,Y,18061270,18061812,-1,543,47.33,protein_coding
ENSMUSG00000095267,Y,18089116,18091556,1,1341,40.72,protein_coding
ENSMUSG00000095267,Y,18089116,18091556,1,699,40.72,protein_coding
ENSMUSG00000095927,Y,18654482,18655024,1,543,47.33,protein_coding
ENSMUSG00000103371,Y,19113007,19139093,1,923,35.66,protein_coding
ENSMUSG00000102668,Y,20967477,20993657,-1,923,35.58,protein_coding
ENSMUSG00000094294,Y,21164570,21166905,1,1223,40.28,protein_coding
ENSMUSG00000094294,Y,21164570,21166905,1,684,40.28,protein_coding
ENSMUSG00000093848,Y,21241575,21243910,1,1225,39.81,protein_coding
ENSMUSG00000093848,Y,21241575,21243910,1,856,39.81,protein_coding
ENSMUSG00000053211,Y,725128,797409,-1,2864,38.08,protein_coding
ENSMUSG00000053211,Y,725128,797409,-1,2783,38.08,protein_coding
ENSMUSG00000069053,Y,818649,844224,1,3441,43.73,protein_coding
ENSMUSG00000069053,Y,818649,844224,1,3981,43.73,protein_coding
ENSMUSG00000056673,Y,897788,956786,1,2177,38.72,protein_coding
ENSMUSG00000056673,Y,897788,956786,1,7974,38.72,protein_coding
ENSMUSG00000069049,Y,1010543,1028847,1,1836,34.94,protein_coding
ENSMUSG00000068457,Y,1096861,1245759,-1,5083,36.93,protein_coding
ENSMUSG00000068457,Y,1096861,1245759,-1,5208,36.93,protein_coding
ENSMUSG00000068457,Y,1096861,1245759,-1,4684,36.93,protein_coding
ENSMUSG00000068457,Y,1096861,1245759,-1,4267,36.93,protein_coding
ENSMUSG00000068457,Y,1096861,1245759,-1,2012,36.93,protein_coding
ENSMUSG00000069045,Y,1260771,1286629,-1,4600,36.78,protein_coding
ENSMUSG00000069044,Y,1298961,1459782,-1,8094,36.39,protein_coding
ENSMUSG00000000103,Y,2106015,2170409,-1,2846,36.56,protein_coding
ENSMUSG00000000103,Y,2106015,2170409,-1,2816,36.56,protein_coding
ENSMUSG00000094881,Y,2599099,2599434,1,336,49.70,protein_coding
ENSMUSG00000069036,Y,2662471,2663658,-1,1188,55.13,protein_coding
ENSMUSG00000095573,Y,2720339,2720674,-1,336,49.70,protein_coding
ENSMUSG00000102053,Y,2785165,2796205,-1,1561,36.49,protein_coding
ENSMUSG00000094658,Y,2830680,2841854,1,1573,36.58,protein_coding
ENSMUSG00000094658,Y,2830680,2841854,1,1708,36.58,protein_coding
ENSMUSG00000095852,Y,2830699,2873492,1,1573,38.00,protein_coding
ENSMUSG00000095852,Y,2830699,2873492,1,1708,38.00,protein_coding
ENSMUSG00000095852,Y,2830699,2873492,1,1358,38.00,protein_coding
ENSMUSG00000091987,Y,2900989,2912206,1,1576,37.11,protein_coding
ENSMUSG00000091987,Y,2900989,2912206,1,1482,37.11,protein_coding
ENSMUSG00000047161,18,15584981,15893214,-1,1620,40.05,protein_coding
ENSMUSG00000024304,18,16721934,16942303,-1,4843,40.41,protein_coding
ENSMUSG00000024304,18,16721934,16942303,-1,3785,40.41,protein_coding
ENSMUSG00000048799,18,53814795,53877680,-1,4554,43.03,protein_coding
ENSMUSG00000048799,18,53814795,53877680,-1,3261,43.03,protein_coding
ENSMUSG00000020607,12,14196831,14202055,-1,4164,50.30,protein_coding
ENSMUSG00000020607,12,14196831,14202055,-1,371,50.30,protein_coding
ENSMUSG00000021239,12,84616536,84642231,1,3270,49.97,protein_coding
ENSMUSG00000021239,12,84616536,84642231,1,3249,49.97,protein_coding
ENSMUSG00000073563,18,53995194,54088620,1,4249,38.59,protein_coding
ENSMUSG00000073563,18,53995194,54088620,1,2180,38.59,protein_coding
ENSMUSG00000073563,18,53995194,54088620,1,422,38.59,protein_coding
ENSMUSG00000020601,12,15841728,15866923,-1,4198,46.73,protein_coding
ENSMUSG00000020601,12,15841728,15866923,-1,1192,46.73,protein_coding
ENSMUSG00000020601,12,15841728,15866923,-1,390,46.73,protein_coding
ENSMUSG00000059898,18,20093987,20135408,-1,5333,38.25,protein_coding
ENSMUSG00000059898,18,20093987,20135408,-1,3123,38.25,protein_coding
ENSMUSG00000059898,18,20093987,20135408,-1,674,38.25,protein_coding
ENSMUSG00000035181,12,51922654,52018104,-1,7763,42.31,protein_coding
ENSMUSG00000035181,12,51922654,52018104,-1,780,42.31,protein_coding
ENSMUSG00000052713,18,55021120,55125627,-1,6095,43.20,protein_coding
ENSMUSG00000001700,18,56533409,56636864,1,2629,43.58,protein_coding
ENSMUSG00000001700,18,56533409,56636864,1,2353,43.58,protein_coding
ENSMUSG00000001700,18,56533409,56636864,1,2605,43.58,protein_coding
ENSMUSG00000021240,12,84648238,84664187,-1,2410,49.69,protein_coding
ENSMUSG00000021240,12,84648238,84664187,-1,2309,49.69,protein_coding
ENSMUSG00000021240,12,84648238,84664187,-1,470,49.69,protein_coding
ENSMUSG00000024331,18,20163690,20192611,-1,4508,39.92,protein_coding
ENSMUSG00000024331,18,20163690,20192611,-1,4630,39.92,protein_coding
ENSMUSG00000024331,18,20163690,20192611,-1,2429,39.92,protein_coding
ENSMUSG00000020956,12,52035095,52053284,-1,2564,43.61,protein_coding
ENSMUSG00000020956,12,52035095,52053284,-1,1012,43.61,protein_coding
