#,,#,clutch size,Inc (d),Nes (d),Suc (%),Pred (%),Brds (no/yr),Surv (%),Lat,Foraging Site,References
i.bird,group,spp,clutch.sz,inc.dur,nest.dur,nest.suc,pred,broods,surv.adult,lat,foraging.site,refs
64,shrub or low foliage,Blue-gray GNAtcatcher,4.25,15,12.5,24.4,NA,2,NA,34,Canopy,45
65,shrub or low foliage,Hermit Thrush,3.82,13,13,6,94,2,NA,34,Ground,5
66,shrub or low foliage,Wood Thrush,3.29,13.5,12,33.3,52.5,2,0.619,39,Ground,46 47
67,shrub or low foliage,Swainson's Thrush,3.81,12.5,12,NA,NA,2,0.57,44,Ground,5 37
68,shrub or low foliage,American Robin,3.36,13,13.6,48.8,40.2,2.5,0.546,46,Ground,5 40 47-49
69,shrub or low foliage,Wrentit ,3.74,15.5,15.5,50.4,NA,1.5,0.685,38,Shrub,50
70,shrub or low foliage,Gray Catbird,3.75,13.1,10.9,53.2,31.2,2,0.577,42,Shrub,47 51 52
71,shrub or low foliage,NorthernM ockingbird,3.91,12.2,12,49.7,47.1,2.5,0.49,33,Shrub,3 53
72,shrub or low foliage,Brown Thrasher,3.72,13.1,11.3,43.5,29,2,NA,39,Ground,54 93
73,shrub or low foliage,Sage Thrasher,3.5,15,12.3,45,NA,2,NA,43,Shrub,55
74,shrub or low foliage,Curve-billed Thrasher,3.8,14,14,43.8,40.2,2.5,NA,28,Ground,56
75,shrub or low foliage,Loggerhead Shrike,5.85,16.6,17.6,61.7,19.4,2,0.47,41,Shrub,57
76,shrub or low foliage,Bell's Vireo,3.39,14,11,11.4,11.4,2,NA,39,Shrub,58
77,shrub or low foliage,Black-capped Vireo,3.63,15.5,12.4,18.3,24.1,2,0.545,34,Shrub,59
78,shrub or low foliage,Black-throated Blue Warbler,3.91,12,9,60.9,42.8,2,0.46,44,Shrub,60
79,shrub or low foliage,Prairie Warbler,3.89,11.9,9.3,22.3,61.8,2,0.546,39,Shrub,61
80,shrub or low foliage,Swainson's Warbler,3.33,14.5,11,33.3,NA,1.5,NA,35,Shrub,62
81,shrub or low foliage,MacGillivray's Warbler,3.83,13,10,50.7,49.3,2,0.491,34,Shrub,5 40
82,shrub or low foliage,Common Yellowthroat,3.9,12,8.3,44.4,14.5,2,0.542,44,Shrub,63
83,shrub or low foliage,Hooded Warbler,3.58,12,8.5,53,47,2,0.547,38,Shrub,5 110
84,shrub or low foliage,Yellow-breastedC hat,3.54,11,8,19.7,66.9,2,NA,35,Shrub,64 67
85,shrub or low foliage,NorthernC ardiNAl,3.12,12.5,9.5,36.4,54,2.5,0.561,37,Shrub,3 48 52 65 
86,shrub or low foliage,Indigo Bunting,3.23,12.5,9.5,36.4,54,3,0.476,42,Shrub,52 66
87,shrub or low foliage,Painted Bunting,3.75,11.5,13,58.8,35.3,3,NA,31,Shrub,67
88,shrub or low foliage,Dickcissel ,3.95,12,9,33.9,48.8,1.5,NA,39,Shrub,68
89,shrub or low foliage,Green-tailedT owhee,3.82,12,12,22,78,2,0.56,34,Ground,5 40
90,shrub or low foliage,Rufous-sided Towhee,3.75,12.5,11,48.1,51.9,2,0.556,41,Ground,47
91,shrub or low foliage,Abert's Towhee,2.96,NA,12.5,27.5,63.8,NA,NA,34,Ground,69
92,shrub or low foliage,Chipping Sparrow,4,11.5,9,58.8,41.2,2,NA,46,Ground,70
93,shrub or low foliage,Clay-colored Sparrow,4.11,11,9,42.7,52.4,1.5,0.566,47,Ground,26a 71
94,shrub or low foliage,Brewer's Sparrow,3.04,13,8.5,79.5,20.5,NA,NA,43,Ground,72
95,shrub or low foliage,Field Sparrow,3.56,11.2,8.3,35.1,60.4,2.5,0.46,41,Ground,26 73 81a
96,shrub or low foliage,Sage Sparrow,2.93,14.2,10,56.4,43.2,2,NA,43,Ground,72 72a
97,shrub or low foliage,Sharp-tailedS sparrow,3.86,11,10,24.3,,2,0.537,43,Ground,74
98,shrub or low foliage,Seaside Sparrow,3.81,12.4,9.6,31.9,6.9,2,0.55,43,Shrub,74
99,shrub or low foliage,Song Sparrow,3.6,12.6,10,42.8,28.1,2,0.554,39,Shrub,40 75
100,shrub or low foliage,White-crownedS parrow,3.56,12.6,10,37.4,51.1,2.5,0.504,39,Ground,40 76
101,shrub or low foliage,Red-winged Blackbird,3.49,12.6,12.1,30.7,44.4,2,0.53,43,Ground,52 77 78
102,shrub or low foliage,Yellow-headed Blackbird,3.18,13.1,12.8,30,34.4,1.5,0.621,44,Ground,78 79
103,shrub or low foliage,Brewer's Blackbird,4.87,13,13.5,39.4,45.5,1.5,NA,39,Ground,80
104,shrub or low foliage,American Goldfinch,4.88,12.3,13.5,45,46.8,2,0.44,42,Shrub,3 81 81a
105,Subcanopy or canopy,Cassin's Kingbird,3.4,18.5,16.5,28.7,42.6,1.5,NA,33,Aerial,82
106,Subcanopy or canopy,WesternK ingbird,3.81,8.5,16.5,20.2,37.6,1,NA,33,Aerial,82
107,Subcanopy or canopy,Eastern Kingbird,3.56,14.7,16.4,47,32.7,1,0.433,42,Aerial,83
108,Subcanopy or canopy,Blue Jay,4.7,17,19,52,38.4,1,0.62,36,Canopy,48 52 84
109,Subcanopy or canopy,Scrub Jay,4.8,18.2,20,54,29.5,1,0.76,38,Shrub,85
110,Subcanopy or canopy,Pinyon Jay,3.94,16.5,21,30.5,41.2,1,0.739,35,Canopy,86
111,Subcanopy or canopy,American Crow,4,18.3,28.8,32.8,49.1,NA,NA,49,Canopy,87
112,Subcanopy or canopy,Solitary Vireo,3.74,15,13,45.3,18,1.5,NA,40,Canopy,88
113,Subcanopy or canopy,Warbling Vireo,3.57,13,13,55,45,2,NA,34,Canopy,5
114,Subcanopy or canopy,Red-eyed Vireo,3.18,13,10.5,50.6,24.9,2,0.553,48,Canopy,89
115,Subcanopy or canopy,Yellow Warbler,4.3,11,9.5,49.8,34.2,1.5,0.573,50,Shrub,37 40 63a 90
116,Subcanopy or canopy,Yellow-rumpedW arbler,4,13,13,47,53,1.5,0.528,34,Canopy,5 91
117,Subcanopy or canopy,American Redstart,3.2,11,8.5,55.2,37.8,1,0.67,43,Canopy,37 92
118,Subcanopy or canopy,Scarlet TaNAger,4,13.5,12,67.4,32.6,1.5,0.611,39,Canopy,5 47
119,Subcanopy or canopy,WesternT aNAger,3.61,13,13,53.8,46.2,1,NA,34,Canopy,5
120,Subcanopy or canopy,Rose-breasted Grosbeak,NA,13.5,10.5,50,50,1.5,NA,42,Canopy,52
121,Subcanopy or canopy,Black-headed Grosbeak,3.16,11.7,12.1,66.1,34,1.5,NA,37,Canopy,5 94
122,Subcanopy or canopy,House Finch,4.4,13.3,15.1,44.9,45.8,2,0.552,44,Canopy,95
